pIndex, A, f0, decayRate, step, f, accuracy, cost
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,4.700000000000000000e+01,1.828908554572271014e-02,7.800000000000000266e-01,4.315023538350525878e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,4.800000000000000000e+01,1.794500723589001479e-02,7.810000000000000275e-01,4.312140474745688734e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,4.900000000000000000e+01,1.761363636363636256e-02,7.820000000000000284e-01,4.309317147973437123e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,5.000000000000000000e+01,1.729428172942817227e-02,7.830000000000000293e-01,4.306553036493936948e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,5.100000000000000000e+01,1.698630136986301400e-02,7.830000000000000293e-01,4.303847535383220624e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,5.200000000000000000e+01,1.668909825033647321e-02,7.840000000000000302e-01,4.301199964307945711e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,5.300000000000000000e+01,1.640211640211640051e-02,7.840000000000000302e-01,4.298609575366660884e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,5.400000000000000000e+01,1.612483745123536802e-02,7.840000000000000302e-01,4.296075560710533869e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,5.500000000000000000e+01,1.585677749360613759e-02,7.840000000000000302e-01,4.293597059876919642e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,5.600000000000000000e+01,1.559748427672955941e-02,7.850000000000000311e-01,4.291173166786322879e-01
