# accuracy, cost, lr
7.289999999999999813e-01, 3.107939398483849036e+00, 1.581027667984189963e-02
7.299999999999999822e-01, 3.109996314520394822e+00, 1.570166830225711713e-02
7.289999999999999813e-01, 3.114710522532147419e+00, 1.559454191033138488e-02
7.309999999999999831e-01, 3.111983276583648372e+00, 1.548886737657309033e-02
7.329999999999999849e-01, 3.111129350260598780e+00, 1.538461538461538720e-02
6.860000000000000542e-01, 3.044749867769322549e+00, 1.528175740210124291e-02
7.289999999999999813e-01, 3.133546344984931675e+00, 1.518026565464895838e-02
7.249999999999999778e-01, 3.132309216177752376e+00, 1.508011310084825772e-02
7.239999999999999769e-01, 3.133974240950743173e+00, 1.498127340823970054e-02
7.269999999999999796e-01, 3.134001322131378053e+00, 1.488372093023256071e-02
7.359999999999999876e-01, 3.142087869141267475e+00, 1.478743068391867241e-02
7.339999999999999858e-01, 3.144959316761291479e+00, 1.469237832874196667e-02
7.299999999999999822e-01, 3.147552154723079809e+00, 1.459854014598540271e-02
7.299999999999999822e-01, 3.151771042268054046e+00, 1.450589301903898627e-02
7.339999999999999858e-01, 3.147301423972403089e+00, 1.441441441441441464e-02
7.059999999999999609e-01, 3.086776763484890385e+00, 1.432408236347358990e-02
7.339999999999999858e-01, 3.090594727163376465e+00, 1.423487544483986039e-02
7.339999999999999858e-01, 3.103737818774392032e+00, 1.414677276746242537e-02
7.309999999999999831e-01, 3.106043741967580374e+00, 1.405975395430580227e-02
7.309999999999999831e-01, 3.102166169189863432e+00, 1.397379912663755663e-02
7.329999999999999849e-01, 3.098884027513328920e+00, 1.388888888888888985e-02
7.319999999999999840e-01, 3.100953098618196346e+00, 1.380500431406384877e-02
7.319999999999999840e-01, 3.105987847131842727e+00, 1.372212692967410275e-02
7.319999999999999840e-01, 3.110071401901671972e+00, 1.364023870417732480e-02
7.299999999999999822e-01, 3.105897385770224783e+00, 1.355932203389830643e-02
6.979999999999999538e-01, 3.050705393663838194e+00, 1.347935973041280641e-02
7.239999999999999769e-01, 3.156831830408945105e+00, 1.340033500837521131e-02
7.279999999999999805e-01, 3.152470766247519318e+00, 1.332223147377185717e-02
7.219999999999999751e-01, 3.158690596061136890e+00, 1.324503311258278145e-02
7.269999999999999796e-01, 3.163791902280165491e+00, 1.316872427983539241e-02
7.279999999999999805e-01, 3.156705658337452203e+00, 1.309328968903437224e-02
7.309999999999999831e-01, 3.157143894040687293e+00, 1.301871440195280852e-02
7.279999999999999805e-01, 3.164024272685622474e+00, 1.294498381877022715e-02
7.259999999999999787e-01, 3.162197745458876774e+00, 1.287208366854384646e-02
